Designation,Process,Graduation_Cleaned,Post Graduation_cleaned,Diploma_cleaned,Others_cleaned,Raw Master Category_cleaned,Notice period served,Voluntary / Forced,Gender,Rating,Band,Company,Business,Last Shifts for person,Deparment
Analyst,PFS Ascension Acute,B.E.,No details,no details,no details,Integrity Issue,0,F,M,Rating not available,A2,R1 RCM,PFS 1,18:00 PM - 03:00 AM,PFS 1
Analyst,PFS Ascension Acute,B.Com,No details,no details,no details,Integrity Issue,0,F,M,Rating not available,A1,R1 RCM,PFS 1,8:30 AM - 5:30 PM,PFS 1
Analyst,PFS Ascension Acute,B.I.T. ,No details,no details,no details,Abanonded,0,V,M,Rating not available,A1,R1 RCM,PFS 1,8:30 AM - 5:30 PM,PFS 1
Analyst,PFS Ascension Acute,B. Pharm ,No details,no details,no details,Abanonded,0,V,F,Rating not available,A1,R1 RCM,PFS 1,8:30 AM - 5:30 PM,PFS 1
Analyst,PFS Ascension Acute,B.Com,No details,no details,no details,Integrity Issue,0,F,M,Rating not available,A1,R1 RCM,PFS 1,09:00 AM - 18:00 PM,PFS 1
Analyst,PFS IMH Acute,B.C.A. ,No details,no details,no details,Performance & Discipline,0,F,M,Rating not available,A1,R1 RCM,PFS 1,09:00 AM - 18:00 PM,PFS 1
Analyst,PFS Ascension Acute,B.B.A.,No details,no details,no details,Integrity Issue,0,F,M,Rating not available,A1,R1 RCM,PFS 1,09:00 AM - 18:00 PM,PFS 1
Analyst,PFS Ascension Acute,B.A.,No details,no details,no details,Abanonded,0,V,M,Rating not available,A1,R1 RCM,PFS 1,09:00 AM - 18:00 PM,PFS 1
Analyst,PFS IMH Acute,B.A.,No details,no details,no details,Abanonded,0,V,M,Rating not available,A1,R1 RCM,PFS 1,09:00 AM - 18:00 PM,PFS 1
Analyst,PFS IMH Acute,B.C.A. ,No details,no details,no details,Performance & Discipline,0,F,M,Rating not available,A1,R1 RCM,PFS 1,09:00 AM - 18:00 PM,PFS 1
Analyst,PFS IMH Acute,B.Com,No details,no details,no details,Abanonded,0,V,M,Rating not available,A1,R1 RCM,PFS 1,09:00 AM - 18:00 PM,PFS 1
Analyst,PFS IMH Acute,B.A.,No details,no details,no details,Performance & Discipline,0,F,M,Rating not available,A1,R1 RCM,PFS 1,09:00 AM - 18:00 PM,PFS 1
Analyst,PFS Ascension Acute,Bachelors ,No details,no details,no details,Abanonded,0,V,F,Rating not available,A1,R1 RCM,PFS 1,09:00 AM - 18:00 PM,PFS 1
Analyst,PFS Ascension Acute,B.A.,No details,no details,no details,Abanonded,0,V,F,Rating not available,A1,R1 RCM,PFS 1,09:00 AM - 18:00 PM,PFS 1
Analyst,PFS IMH Acute,B.A.,No details,no details,no details,Higher Studies,0,V,F,Rating not available,A1,R1 RCM,PFS 1,18:00 PM - 03:00 AM,PFS 1
Analyst,PFS IMH Acute,B.A.,No details,no details,no details,Shift Timings,0,V,M,Rating not available,A1,R1 RCM,PFS 1,09:00 AM - 18:00 PM,PFS 1
Analyst,PFS IMH Acute,B.Sc,No details,no details,no details,Abanonded,0,V,M,Rating not available,A1,R1 RCM,PFS 1,09:00 AM - 18:00 PM,PFS 1
Analyst,PFS IMH Acute,No details,M.Sc.,no details,no details,Abanonded,0,V,F,Rating not available,A1,R1 RCM,PFS 1,09:00 AM - 18:00 PM,PFS 1
Senior Analyst,PFS Ascension Acute,B.A.,No details,no details,no details,Performance & Discipline,0,F,M,Rating not available,A1,R1 RCM,PFS 1,18:00 PM - 03:00 AM,PFS 1
Analyst,PFS IMH Acute,B.A.,No details,no details,no details,Integrity Issue,0,F,M,Rating not available,A2,R1 RCM,PFS 1,18:00 PM - 03:00 AM,PFS 1
Analyst,PFS IMH Acute,B.Com,No details,no details,no details,Performance & Discipline,0,F,M,Rating not available,A1,R1 RCM,PFS 1,09:00 AM - 18:00 PM,PFS 1
Analyst,PFS IMH Acute,B.Sc,No details,no details,no details,Performance & Discipline,0,F,M,Rating not available,A1,R1 RCM,PFS 1,09:00 AM - 18:00 PM,PFS 1
Analyst,PFS IMH Acute,B.A.,No details,no details,no details,Abanonded,0,V,M,Rating not available,A1,R1 RCM,PFS 1,18:00 PM - 03:00 AM,PFS 1
Analyst,PFS IMH Acute,B.Com,No details,no details,no details,Performance & Discipline,0,F,F,Rating not available,A1,R1 RCM,PFS 1,18:00 PM - 03:00 AM,PFS 1
Analyst,PFS IMH Acute,B.A.,No details,no details,no details,Abanonded,0,V,F,Rating not available,A1,R1 RCM,PFS 1,09:00 AM - 18:00 PM,PFS 1
Analyst,PFS Modular,B.C.A. ,No details,no details,no details,Performance & Discipline,0,F,F,Rating not available,A1,R1 RCM,PFS 1,09:00 AM - 18:00 PM,PFS 1
Analyst,PFS Modular,B.Com,No details,no details,no details,Abanonded,0,V,M,Rating not available,A1,R1 RCM,PFS 1,09:00 AM - 18:00 PM,PFS 1
Analyst,PFS Modular,B.A.,No details,no details,no details,Abanonded,0,V,M,Rating not available,A1,R1 RCM,PFS 1,18:00 PM - 03:00 AM,PFS 1
Analyst,PFS Modular,B.E.,No details,no details,no details,Abanonded,0,V,M,Rating not available,A1,R1 RCM,PFS 1,09:00 AM - 18:00 PM,PFS 1
Analyst,PFS Modular,B.Com,No details,no details,no details,Abanonded,0,V,M,Rating not available,A1,R1 RCM,PFS 1,09:00 AM - 18:00 PM,PFS 1
Analyst,PFS Ascension Acute,B.A.,No details,Diploma in computer  ,no details,Performance & Discipline,0,F,M,Rating not available,A1,R1 RCM,PFS 1,09:00 AM - 18:00 PM,PFS 1
Analyst,PFS Ascension Acute,B.E.,No details,no details,no details,Integrity Issue,0,F,M,Rating not available,A1,R1 RCM,PFS 1,18:00 PM - 03:00 AM,PFS 1
Analyst,Quorum,No details,No details,no details,Intermediate,Abanonded,0,V,M,Rating not available,A1,R1 RCM,PFS 1,8:30 AM - 5:30 PM,PFS 1
Analyst,PFS Modular,B.E.,M.E.,no details,no details,Performance & Discipline,0,F,M,Rating not available,A1,R1 RCM,PFS 1,18:00 PM - 03:00 AM,PFS 1
Analyst,PFS Modular,B.A.,No details,no details,no details,Performance & Discipline,0,F,M,Rating not available,A1,R1 RCM,PFS 1,18:00 PM - 03:00 AM,PFS 1
Analyst,PFS Modular,B.C.A. ,No details,no details,no details,Abanonded,0,V,M,Rating not available,A1,R1 RCM,PFS 1,18:00 PM - 03:00 AM,PFS 1
Analyst,PFS Ascension Acute,B.Com,No details,no details,no details,Abanonded,0,V,M,Rating not available,A1,R1 RCM,PFS 1,18:00 PM - 03:00 AM,PFS 1
Analyst,PFS Ascension Acute,B.B.A.,No details,no details,no details,Abanonded,0,V,M,Rating not available,A1,R1 RCM,PFS 1,18:00 PM - 03:00 AM,PFS 1
Analyst,PFS Ascension Acute,B.Sc,No details,no details,no details,Integrity Issue,0,F,M,Rating not available,A1,R1 RCM,PFS 1,09:00 AM - 18:00 PM,PFS 1
Analyst,PFS Ascension Acute,B. Pharm ,No details,no details,no details,Performance & Discipline,0,F,F,Rating not available,A1,R1 RCM,PFS 1,09:00 AM - 18:00 PM,PFS 1
Analyst,PFS IMH Acute,No details,No details,no details,Intermediate,Performance & Discipline,0,F,M,Rating not available,A1,R1 RCM,PFS 1,18:00 PM - 03:00 AM,PFS 1
Analyst,PFS Ascension Acute,No details,No details,no details,AIRLINES TOURISM AND HOSPITALITY MANAGMENT ,Performance & Discipline,0,F,F,Rating not available,A1,R1 RCM,PFS 1,18:00 PM - 03:00 AM,PFS 1
Senior Analyst,CLASS,B.A.,No details,no details,no details,Performance & Discipline,0,F,M,Rating not available,A1,R1 RCM,PFS 1,8:30 AM - 5:30 PM,PFS 1
Analyst,PFS Quorum,B.Com,No details,no details,no details,Integrity Issue,0,F,M,Rating not available,A2,R1 RCM,Operations,18:00 PM - 03:00 AM,Operations
Deputy Manager ,Software Development,B.Com,M.C.A.,no details,no details,Abanonded,0,V,M,Rating not available,A1,R1 RCM,PFS 1,8:30 AM - 5:30 PM,PFS 1
PE-QA,Quality,B.A.,No details,no details,no details,Better opportunity,0,V,M,A,Manager,R1 RCM -II,Software Development,3:00 PM - 12:00 AM,Software Development
Senior Analyst,Jackson Ville,B.A.,No details,no details,no details,Personal ,1,V,M,Rating not available,A2,R1 RCM -II,Quality,6:00 PM - 3:00 AM,Quality
Analyst,Mobile-AR,Bachelors ,No details,no details,no details,Integrity Issue,0,F,M,A,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,DSSC,Bachelors ,No details,no details,no details,Abanonded,0,V,M,B-,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,DSSC,B.E.,No details,no details,no details,Terminated,0,V,M,B-,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,DSSC,B.A.,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,Nashville-AR,B.Com,No details,no details,no details,Abanonded,0,V,F,Rating not available,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,DSSC,B.Com,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
MT/QA,Medical Transcription,No details,No details,no details,no details,Abanonded,0,V,M,B-,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Software Developer,Software Development,B.Com,M.C.A.,no details,no details,Personal ,0,V,M,Rating not available,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Senior Coding Analyst,Medical Coding,No details,No details,no details,B.E.,Abanonded,1,V,M,Rating not available,A3,R1 RCM -II,Software Development,6:00 PM - 3:00 AM,Software Development
Senior Coding Analyst,Medical Coding,B.Sc,No details,no details,no details,Personal ,0,V,F,Rating not available,P1,R1 RCM -II,Operations,6:00 AM - 3:00 PM,Operations
PE-QA,Quality,B.Com,No details,no details,no details,Abanonded,0,V,M,Rating not available,A3,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
PE-QA,Quality,B.Com,No details,no details,no details,Higher Studies,1,V,F,Rating not available,A2,R1 RCM -II,Quality,3:00 PM - 12:00 AM,Quality
Analyst,Jackson Ville,B.Com,No details,no details,no details,Personal ,1,V,M,B-,A2,R1 RCM -II,Quality,3:00 PM - 12:00 AM,Quality
PE-QA,Quality,B.A.,No details,no details,no details,No data available,0,V,M,Rating not available,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Senior Software Developer,Software Development,B.E.,No details,no details,no details,Relocation,0,V,F,A,A2,R1 RCM -II,Quality,3:00 PM - 12:00 AM,Quality
Analyst,Jackson Ville,B.Com,No details,no details,no details,Better opportunity,0,V,M,Rating not available,A3,R1 RCM -II,Software Development,3:00 PM - 12:00 AM,Software Development
Analyst,Jackson Ville,B.Com,No details,no details,no details,Personal ,0,V,M,B-,A2,R1 RCM -II,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Jackson Ville,B.Sc,No details,no details,no details,Better opportunity,0,V,M,B-,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,Jackson Ville,B.E.,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,Jackson Ville,B.Sc,M.Sc.,no details,no details,Personal ,0,V,M,Rating not available,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Team Coach,Jackson Ville,B.Sc,No details,no details,no details,Terminated,1,V,M,Rating not available,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,DSSC,B.Com,M.Com,no details,no details,No data available,1,V,M,Rating not available,A3,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,DSSC,Bachelors ,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,Nashville-AR,B.Sc,No details,no details,no details,Integrity Issue,0,F,M,Rating not available,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,DSSC,B.Com,No details,no details,no details,No data available,0,V,M,B-,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,DSSC,B.A.,No details,no details,no details,Abanonded,1,V,M,Rating not available,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,FCC,Bachelors ,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,FCC,B.B.A.,No details,no details,no details,No data available,0,V,M,Rating not available,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,FCC,B.A.,No details,no details,no details,Personal ,0,V,F,C,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Senior Analyst,FCC,B.Sc,PGP,no details,no details,No data available,0,V,F,Rating not available,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Software Developer,Software Development,B.C.A. ,M.C.A.,no details,no details,Better opportunity,0,V,M,A,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Senior Coding Analyst,Medical Coding,No details,M.Sc.,no details,no details,Personal ,0,V,M,Rating not available,A3,R1 RCM -II,Software Development,3:00 PM - 12:00 AM,Software Development
Senior QA (MT),MT,No details,No details,no details,no details,Abanonded,0,V,M,Rating not available,A3,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Senior Software Developer,Sure Decisions,Bachelors ,M.C.A.,no details,no details,Personal ,0,V,M,B+,A3,R1 RCM -II,MT,3:00 PM - 12:00 AM,MT
Analyst,AR,B.C.A. ,No details,no details,no details,Personal ,0,V,M,B-,A3,R1 RCM -II,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Jackson Ville,B.Com,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,FCC,B.A.,No details,no details,no details,Terminated,0,V,M,Rating not available,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,DSSC,B.E.,M.C.A.,no details,no details,No data available,0,F,M,Rating not available,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,Jackson Ville,B.A.,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,FCC,B.Sc,M.C.A.,no details,no details,Personal ,0,V,M,B-,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,Jackson Ville,B.Com,No details,no details,no details,Personal ,0,V,F,C,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Lead Developer,Software Development,B.Sc,M.Sc.,Doeacc Society ,no details,Abanonded,1,V,F,Rating not available,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,CSSC,B.Sc,M.C.A.,no details,no details,Better opportunity,0,V,M,Rating not available,P1,R1 RCM -II,Software Development,3:00 PM - 12:00 AM,Software Development
Analyst,PFS,B.A.,No details,no details,no details,Personal ,0,V,M,B+,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,Jackson Ville,B.A.,No details,no details,no details,Abanonded,1,V,F,Rating not available,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Software Developer,Software Development,B.C.A. ,M.C.A.,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Senior Analyst,CSSC Non-Voice,B.A.,No details,no details,no details,Better opportunity,0,V,M,Rating not available,A3,R1 RCM -II,Software Development,3:00 PM - 12:00 AM,Software Development
Process Coach,RCM Training 1,B.A.,No details,no details,no details,Performance & Discipline,0,F,M,B,A2,R1 RCM -II,PFS 1,9:00 AM - 6:00 PM,PFS 1
Senior Software Developer,Software Development,B.Sc,M.C.A.,no details,no details,Relocation,0,V,M,B+,A3,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Senior Coding Analyst,Medical Coding,No details,No details,no details,no details,Abanonded,1,V,M,Rating not available,A3,R1 RCM -II,Software Development,6:00 PM - 3:00 AM,Software Development
Lead Engineer - BI and Analytics,Software Development,B.Com,PGDA,no details,no details,Abanonded,0,V,F,Rating not available,A3,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Software Developer,Software Development,B.C.A. ,No details,no details,no details,Better opportunity,1,V,M,Rating not available,A3,R1 RCM -II,Software Development,3:00 PM - 12:00 AM,Software Development
Software Developer,Software Development,B.Sc,M.C.A.,no details,no details,Personal ,1,V,M,Rating not available,A3,R1 RCM -II,Software Development,6:00 PM - 3:00 AM,Software Development
Analyst,AR,No details,No details,no details,no details,Better opportunity,0,V,M,B+,A3,R1 RCM -II,Software Development,3:00 PM - 12:00 AM,Software Development
Analyst,AR,B.Com,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,AR,B.Com,M.Com,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,Jackson Ville,No details,No details,no details,no details,Terminated,0,V,M,Rating not available,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,PFS,B.A.,No details,no details,no details,No data available,0,V,F,Rating not available,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Assistant Manager 1,CSSC AR,B.Com,No details,no details,no details,Personal ,1,V,F,C,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,PFS,No details,No details,no details,no details,Better opportunity,1,V,M,B+,P1,R1 RCM -II,PFS 1,6:00 PM - 3:00 AM,PFS 1
Analyst,PFS,B.A.,No details,no details,no details,No data available,0,V,F,Rating not available,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,PFS,B.Sc,M.Sc.,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,PFS,No details,No details,no details,no details,No data available,0,V,F,Rating not available,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,PFS,B.Com,No details,no details,no details,No data available,0,V,M,Rating not available,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,PFS,B.A.,No details,no details,no details,No data available,0,V,M,Rating not available,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Senior Analyst,CSSC,B.A.,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Team Lead,Mobile-AR,B.Com,M.Com,no details,no details,Better opportunity,0,V,M,B+,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Senior Software Developer,Software Development,B.C.A. ,No details,Diploma in computer  ,no details,Personal ,1,V,F,B-,P1,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,PFS,Bachelors ,No details,no details,no details,Personal ,1,V,M,A,A3,R1 RCM -II,Software Development,3:00 PM - 12:00 AM,Software Development
Senior Analyst,CSSC,B.Com,No details,no details,no details,Personal ,1,V,M,Rating not available,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,PFS,B.E.,No details,no details,no details,Better opportunity,1,V,F,B+,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,PFS,B.Com,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Senior Analyst,CSSC,B.Sc,No details,no details,no details,Abanonded,0,V,F,Rating not available,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,PFS,B.Sc,No details,no details,no details,Personal ,1,V,M,A,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
System Engineer,India IT,B.Sc,No details,no details,no details,Personal ,1,V,M,C,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Sr. System Administrator-IT Infra & Operations,IT,B.Sc,Master in Computer Management,no details,no details,Abanonded,0,V,M,Rating not available,A3,R1 RCM -II,IT,6:00 PM - 3:00 AM,IT
Senior Analyst,CSSC,B.Com,No details,no details,no details,Personal ,0,V,M,C,A3,R1 RCM -II,IT,12:00 PM - 9:00 PM,IT
Senior Analyst,CSSC,B.A.,No details,no details,no details,Abanonded,0,V,M,B-,A1,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Senior Software Developer,Software Development,Bachelors ,No details,no details,no details,Better opportunity,0,V,M,B-,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,PFS,B.A.,No details,no details,no details,Better opportunity,0,V,M,Rating not available,A3,R1 RCM -II,Software Development,3:00 PM - 12:00 AM,Software Development
Senior Analyst,CSSC,B.Sc,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,AR,B.E.,No details,no details,no details,Personal ,0,V,M,B-,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Senior Analyst,FCC Andromeda,B.Com,No details,no details,no details,Personal ,1,V,M,Rating not available,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,PFS,No details,No details,no details,no details,Personal ,0,V,M,B+,A2,R1 RCM -II,Operations,18:00 PM - 03:00 AM,Operations
Analyst,PFS,B.Sc,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,PFS,B.Com,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,PFS,B.E.,No details,no details,no details,Personal ,0,V,M,B-,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,Nashville-AR,B.Sc,No details,no details,no details,Abanonded,0,V,F,Rating not available,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,Nashville-AR,B.A.,No details,no details,no details,Personal ,1,V,M,B-,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
MT/QA,Medical Transcription,Bachelors ,No details,no details,no details,Personal ,0,V,F,C,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Trainee,Human Resources,B.E.,No details,no details,no details,Personal ,1,V,F,Rating not available,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,PFS,B.A.,No details,no details,no details,Personal ,0,V,F,B-,A3,R1 RCM -II,Support,3:00 PM - 12:00 AM,Support
Analyst,PFS,Bachelors ,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,PFS,Bachelors ,No details,no details,no details,Personal ,0,V,M,B+,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,PFS,Bachelors ,No details,no details,no details,Personal ,0,V,M,C,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,PFS,B.Com,No details,no details,no details,Personal ,0,V,M,B+,A2,R1 RCM -II,Operations,3:00 PM - 12:00 AM,Operations
Analyst,PFS,GNI,No details,no details,no details,Personal ,1,V,M,B-,A2,R1 RCM -II,Operations,3:00 PM - 12:00 AM,Operations
Analyst,PFS,Bachelors ,No details,no details,no details,Abanonded,0,V,M,A,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,PFS,B.A.,No details,no details,no details,Health,0,V,F,B+,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,PFS,B.A.,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,PFS,Bachelors ,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,PFS,No details,No details,no details,no details,Abanonded,0,V,F,B-,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,PFS,B.C.A. ,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,PFS,Bachelors ,No details,no details,no details,Personal ,1,V,M,B-,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,PFS,No details,No details,no details,no details,No data available,1,V,F,Rating not available,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,PFS,Bachelors ,M.C.A.,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,PFS,Bachelors ,No details,no details,no details,Terminated,0,V,M,B-,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,PFS,Bachelors ,No details,no details,no details,Terminated,0,V,M,B-,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Command Centre Specialist,Medical Transcription,B.E.,PGP,no details,no details,Terminated,0,V,M,C,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Software Developer,Software Development,B.Sc,M.C.A.,no details,metric,Better opportunity,0,V,M,B-,A2,R1 RCM -II,Operations,3:00 PM - 12:00 AM,Operations
Analyst,IT,B.E.,No details,no details,no details,Abanonded,0,V,M,B+,A3,R1 RCM -II,Software Development,3:00 PM - 12:00 AM,Software Development
MT/QA,Medical Transcription,No details,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM -II,IT,6:00 PM - 3:00 AM,IT
MT/QA,Medical Transcription,No details,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Software Developer,Software Development,B.E.,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,PFS,Bachelors ,No details,no details,no details,Personal ,1,V,M,B+,A3,R1 RCM -II,Software Development,3:00 PM - 12:00 AM,Software Development
Analyst,PFS,B.Com,No details,no details,no details,No data available,0,V,M,Rating not available,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,PFS,B.Sc,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,PFS,Bachelors ,No details,no details,no details,Abanonded,0,V,F,Rating not available,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,PFS,Bachelors ,No details,no details,no details,Abanonded,0,V,M,B-,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,PFS,Bachelors ,Post Graduation,no details,no details,Personal ,0,V,M,Rating not available,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,CSSC,B.Sc,PGP,no details,no details,Personal ,0,V,F,B-,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,PFS,B.Sc,No details,no details,no details,Performance & Discipline,0,F,M,B-,A2,R1 RCM -II,Operations,3:00 PM - 12:00 AM,Operations
Analyst,PFS,B.Com,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,Mobile-AR,B.Com,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,PFS,B.E.,No details,no details,no details,Personal ,0,V,M,C,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
Analyst,PFS,B.A.,No details,no details,no details,Abanonded,0,V,M,Rating not available,A2,R1 RCM -II,Operations,6:00 PM - 3:00 AM,Operations
